Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-0.04,0.02,0.04,-0.03,-0.14,-0.25,-0.19,0.05,-0.07,-0.16,-0.03,0.03,-0.06,***,***,-0.04,-0.13,-0.09
1881,-0.11,-0.1,0.06,0.09,0.08,-0.06,-0.08,-0.03,-0.06,-0.04,-0.02,0.06,-0.02,-0.02,-0.06,0.08,-0.06,-0.04
1882,0.06,0.07,0.06,-0.02,-0.02,-0.15,-0.05,0.02,-0.05,0,-0.01,-0.09,-0.01,0,0.06,0.01,-0.06,-0.02
1883,-0.05,-0.11,-0.1,-0.07,-0.09,0,-0.07,-0.05,-0.1,-0.08,-0.05,-0.06,-0.07,-0.07,-0.08,-0.09,-0.04,-0.08
1884,-0.08,-0.05,-0.1,-0.23,-0.33,-0.31,-0.23,-0.05,-0.12,-0.1,-0.13,-0.18,-0.16,-0.15,-0.07,-0.22,-0.2,-0.12
1885,-0.21,-0.24,-0.31,-0.33,-0.31,-0.43,-0.34,-0.21,-0.18,-0.12,-0.13,-0.11,-0.24,-0.25,-0.21,-0.32,-0.32,-0.15
1886,-0.18,-0.25,-0.22,-0.22,-0.19,-0.36,-0.25,-0.23,-0.19,-0.27,-0.18,-0.35,-0.24,-0.22,-0.18,-0.21,-0.28,-0.22
1887,-0.4,-0.47,-0.32,-0.35,-0.38,-0.28,-0.25,-0.14,-0.29,-0.26,-0.28,-0.25,-0.3,-0.31,-0.41,-0.35,-0.22,-0.28
1888,-0.23,-0.14,-0.26,-0.21,-0.3,-0.33,-0.23,-0.13,-0.09,-0.01,0.05,0.12,-0.15,-0.18,-0.21,-0.26,-0.23,-0.01
1889,0.07,0.02,0.08,-0.01,-0.01,-0.15,-0.1,-0.23,-0.19,-0.13,-0.06,-0.05,-0.06,-0.05,0.07,0.02,-0.16,-0.12
1890,-0.24,-0.34,-0.36,-0.38,-0.44,-0.33,-0.3,-0.39,-0.4,-0.42,-0.27,-0.2,-0.34,-0.33,-0.21,-0.39,-0.34,-0.36
1891,-0.25,-0.27,-0.25,-0.24,-0.17,-0.27,-0.28,-0.24,-0.27,-0.19,-0.15,-0.07,-0.22,-0.23,-0.24,-0.22,-0.27,-0.2
1892,-0.12,-0.08,-0.15,-0.22,-0.23,-0.36,-0.28,-0.23,-0.15,-0.04,-0.04,-0.14,-0.17,-0.16,-0.09,-0.2,-0.29,-0.08
1893,-0.14,-0.2,-0.18,-0.3,-0.3,-0.36,-0.2,-0.22,-0.21,-0.12,-0.08,-0.07,-0.2,-0.2,-0.16,-0.26,-0.26,-0.14
1894,-0.21,-0.24,-0.29,-0.37,-0.37,-0.41,-0.28,-0.23,-0.25,-0.19,-0.04,-0.09,-0.25,-0.25,-0.17,-0.34,-0.31,-0.16
1895,-0.17,-0.09,-0.19,-0.26,-0.25,-0.23,-0.18,-0.08,-0.21,-0.13,-0.23,-0.08,-0.18,-0.18,-0.12,-0.23,-0.16,-0.19
1896,-0.08,-0.08,-0.04,-0.02,-0.16,-0.3,-0.06,-0.02,-0.03,0.08,0.1,0.11,-0.04,-0.06,-0.08,-0.07,-0.13,0.05
1897,0.07,0.04,0.1,0,-0.17,-0.2,-0.13,-0.13,-0.13,-0.13,-0.13,-0.11,-0.08,-0.06,0.07,-0.02,-0.16,-0.13
1898,-0.09,-0.16,-0.27,-0.36,-0.34,-0.3,-0.35,-0.36,-0.28,-0.33,-0.3,-0.24,-0.28,-0.27,-0.12,-0.32,-0.34,-0.31
1899,-0.25,-0.15,-0.16,-0.22,-0.22,-0.28,-0.16,-0.11,-0.07,-0.17,-0.12,-0.1,-0.17,-0.18,-0.21,-0.2,-0.19,-0.12
1900,-0.15,0,-0.09,-0.11,-0.18,-0.11,-0.12,-0.13,-0.12,-0.07,-0.03,-0.14,-0.1,-0.1,-0.08,-0.13,-0.12,-0.08
1901,-0.14,-0.15,-0.18,-0.18,-0.22,-0.29,-0.32,-0.27,-0.2,-0.33,-0.14,-0.17,-0.22,-0.21,-0.14,-0.2,-0.3,-0.22
1902,-0.23,-0.18,-0.21,-0.2,-0.28,-0.27,-0.27,-0.36,-0.26,-0.31,-0.28,-0.27,-0.26,-0.25,-0.19,-0.23,-0.3,-0.28
1903,-0.27,-0.26,-0.33,-0.38,-0.4,-0.42,-0.31,-0.4,-0.53,-0.53,-0.46,-0.51,-0.4,-0.38,-0.27,-0.37,-0.38,-0.51
1904,-0.54,-0.6,-0.61,-0.53,-0.63,-0.52,-0.48,-0.49,-0.51,-0.43,-0.29,-0.35,-0.5,-0.51,-0.55,-0.59,-0.49,-0.41
1905,-0.29,-0.38,-0.23,-0.26,-0.34,-0.29,-0.35,-0.21,-0.24,-0.27,-0.25,-0.11,-0.27,-0.29,-0.34,-0.28,-0.28,-0.25
1906,0,-0.03,-0.16,-0.15,-0.26,-0.33,-0.23,-0.28,-0.35,-0.26,-0.38,-0.35,-0.23,-0.21,-0.05,-0.19,-0.28,-0.33
1907,-0.3,-0.32,-0.28,-0.3,-0.34,-0.37,-0.33,-0.34,-0.32,-0.3,-0.38,-0.38,-0.33,-0.33,-0.32,-0.31,-0.35,-0.33
1908,-0.34,-0.38,-0.41,-0.43,-0.47,-0.48,-0.4,-0.38,-0.44,-0.48,-0.42,-0.46,-0.42,-0.42,-0.37,-0.44,-0.42,-0.45
1909,-0.52,-0.48,-0.42,-0.53,-0.62,-0.55,-0.48,-0.33,-0.42,-0.47,-0.53,-0.57,-0.49,-0.48,-0.49,-0.52,-0.45,-0.47
1910,-0.51,-0.47,-0.54,-0.46,-0.4,-0.33,-0.32,-0.34,-0.37,-0.52,-0.53,-0.54,-0.45,-0.45,-0.51,-0.47,-0.33,-0.48
1911,-0.53,-0.58,-0.6,-0.64,-0.58,-0.64,-0.45,-0.44,-0.46,-0.35,-0.23,-0.13,-0.47,-0.5,-0.55,-0.61,-0.51,-0.35
1912,-0.17,-0.12,-0.14,-0.17,-0.28,-0.33,-0.33,-0.33,-0.33,-0.33,-0.27,-0.3,-0.26,-0.24,-0.14,-0.2,-0.33,-0.31
1913,-0.26,-0.27,-0.41,-0.29,-0.33,-0.4,-0.16,-0.2,-0.29,-0.26,-0.23,-0.16,-0.27,-0.28,-0.28,-0.34,-0.25,-0.26
1914,-0.09,-0.11,-0.14,-0.21,-0.22,-0.26,-0.13,-0.06,-0.03,-0.07,-0.08,-0.03,-0.12,-0.13,-0.12,-0.19,-0.15,-0.06
1915,-0.15,0.03,0.04,0.07,-0.08,-0.3,-0.13,-0.25,-0.2,-0.22,-0.22,-0.17,-0.13,-0.12,-0.05,0.01,-0.23,-0.21
1916,-0.17,-0.14,-0.17,-0.26,-0.32,-0.5,-0.42,-0.21,-0.24,-0.29,-0.44,-0.52,-0.31,-0.28,-0.16,-0.25,-0.38,-0.33
1917,-0.62,-0.6,-0.53,-0.46,-0.38,-0.39,-0.19,-0.05,-0.14,-0.25,-0.34,-0.28,-0.35,-0.37,-0.58,-0.46,-0.21,-0.24
1918,-0.28,-0.24,-0.27,-0.29,-0.39,-0.29,-0.26,-0.27,-0.09,-0.07,0.02,-0.01,-0.2,-0.23,-0.27,-0.32,-0.28,-0.05
1919,-0.02,-0.07,-0.03,-0.02,-0.12,-0.32,-0.24,-0.38,-0.32,-0.31,-0.34,-0.27,-0.2,-0.18,-0.03,-0.06,-0.31,-0.32
1920,-0.35,-0.25,-0.23,-0.28,-0.31,-0.46,-0.38,-0.2,-0.09,-0.15,-0.09,-0.21,-0.25,-0.26,-0.29,-0.27,-0.35,-0.11
1921,-0.3,-0.29,-0.38,-0.44,-0.35,-0.41,-0.26,-0.23,-0.21,-0.07,-0.18,-0.21,-0.28,-0.28,-0.27,-0.39,-0.3,-0.15
1922,-0.29,-0.25,-0.19,-0.31,-0.46,-0.48,-0.27,-0.3,-0.29,-0.35,-0.16,-0.24,-0.3,-0.3,-0.25,-0.32,-0.35,-0.27
1923,-0.36,-0.31,-0.28,-0.27,-0.3,-0.32,-0.34,-0.36,-0.42,-0.34,-0.18,-0.15,-0.3,-0.31,-0.31,-0.28,-0.34,-0.31
1924,-0.17,-0.25,-0.18,-0.34,-0.31,-0.29,-0.36,-0.46,-0.43,-0.46,-0.52,-0.47,-0.35,-0.33,-0.19,-0.28,-0.37,-0.47
1925,-0.5,-0.41,-0.31,-0.35,-0.38,-0.41,-0.31,-0.18,-0.34,-0.29,-0.12,-0.08,-0.31,-0.34,-0.46,-0.35,-0.3,-0.25
1926,-0.12,-0.12,-0.13,-0.12,-0.22,-0.27,-0.32,-0.18,-0.22,-0.26,-0.25,-0.28,-0.21,-0.19,-0.1,-0.16,-0.26,-0.25
1927,-0.26,-0.27,-0.29,-0.33,-0.38,-0.41,-0.3,-0.32,-0.28,-0.27,-0.19,-0.27,-0.3,-0.3,-0.27,-0.33,-0.34,-0.25
1928,-0.29,-0.28,-0.27,-0.24,-0.45,-0.45,-0.29,-0.28,-0.27,-0.29,-0.22,-0.28,-0.3,-0.3,-0.28,-0.32,-0.34,-0.26
1929,-0.36,-0.37,-0.46,-0.47,-0.49,-0.46,-0.36,-0.44,-0.29,-0.27,-0.2,-0.41,-0.38,-0.37,-0.34,-0.47,-0.42,-0.25
1930,-0.49,-0.35,-0.33,-0.32,-0.28,-0.27,-0.38,-0.32,-0.26,-0.26,-0.07,-0.18,-0.29,-0.31,-0.41,-0.31,-0.33,-0.2
1931,-0.22,-0.16,-0.13,-0.25,-0.25,-0.3,-0.15,-0.17,-0.31,-0.26,-0.36,-0.21,-0.23,-0.23,-0.19,-0.21,-0.21,-0.31
1932,-0.12,-0.16,-0.17,-0.23,-0.27,-0.44,-0.35,-0.37,-0.32,-0.34,-0.23,-0.33,-0.28,-0.27,-0.16,-0.22,-0.39,-0.3
1933,-0.3,-0.3,-0.29,-0.32,-0.33,-0.39,-0.32,-0.34,-0.32,-0.32,-0.38,-0.37,-0.33,-0.33,-0.31,-0.31,-0.35,-0.34
1934,-0.31,-0.43,-0.34,-0.34,-0.28,-0.28,-0.18,-0.15,-0.21,-0.28,-0.22,-0.25,-0.27,-0.28,-0.37,-0.32,-0.2,-0.24
1935,-0.27,-0.33,-0.33,-0.4,-0.3,-0.4,-0.4,-0.39,-0.38,-0.26,-0.21,-0.2,-0.32,-0.33,-0.28,-0.34,-0.4,-0.28
1936,-0.28,-0.27,-0.31,-0.35,-0.34,-0.49,-0.31,-0.32,-0.26,-0.14,-0.14,-0.21,-0.28,-0.28,-0.25,-0.34,-0.37,-0.18
1937,-0.27,-0.22,-0.21,-0.27,-0.25,-0.24,-0.24,-0.13,-0.12,-0.18,-0.08,-0.16,-0.2,-0.2,-0.23,-0.24,-0.21,-0.13
1938,-0.22,-0.25,-0.18,-0.23,-0.24,-0.3,-0.19,-0.24,-0.19,-0.08,-0.2,-0.17,-0.21,-0.21,-0.21,-0.22,-0.24,-0.16
1939,-0.17,-0.16,-0.15,-0.15,-0.12,-0.16,-0.19,-0.21,-0.28,-0.17,-0.11,0.06,-0.15,-0.17,-0.17,-0.14,-0.18,-0.19
1940,0.1,0.02,0.14,0.05,0.05,0.06,0.09,0.06,0.05,-0.07,0.05,0.26,0.07,0.06,0.06,0.08,0.07,0.01
1941,0.18,0.15,0.09,0.2,0.12,0.07,0.2,0.12,-0.05,0.21,0.29,0.25,0.15,0.15,0.2,0.14,0.13,0.15
1942,0.21,0.13,0.11,0.11,0.06,-0.01,-0.01,0.01,-0.16,-0.27,-0.09,-0.04,0,0.03,0.2,0.09,0,-0.17
1943,0.06,-0.06,-0.1,-0.11,-0.1,-0.04,0.17,-0.1,-0.04,-0.01,0.03,0.08,-0.02,-0.03,-0.01,-0.1,0.01,-0.01
1944,0.08,0.05,0.21,0.21,0.15,0.23,0.24,0.21,0.21,0.08,0.01,0.08,0.15,0.15,0.07,0.19,0.23,0.1
1945,0.11,0.08,0.04,0.11,0.03,-0.08,0.02,0.24,0.24,0.15,0.07,0.08,0.09,0.09,0.09,0.06,0.06,0.15
1946,-0.04,-0.04,-0.09,-0.19,-0.18,-0.39,-0.24,-0.28,-0.13,-0.16,-0.19,-0.17,-0.17,-0.15,0,-0.15,-0.3,-0.16
1947,-0.09,-0.13,-0.17,-0.11,-0.09,0.02,-0.1,-0.12,-0.25,-0.28,-0.14,-0.24,-0.14,-0.14,-0.13,-0.12,-0.07,-0.22
1948,-0.18,-0.15,-0.21,-0.2,-0.16,-0.16,-0.24,-0.27,-0.24,-0.21,-0.3,-0.1,-0.2,-0.21,-0.19,-0.19,-0.22,-0.25
1949,-0.11,-0.19,-0.08,-0.18,-0.18,-0.29,-0.17,-0.2,-0.21,-0.22,-0.23,-0.23,-0.19,-0.18,-0.13,-0.15,-0.22,-0.22
1950,-0.24,-0.25,-0.21,-0.18,-0.18,-0.03,-0.02,-0.11,-0.16,-0.36,-0.37,-0.33,-0.2,-0.2,-0.24,-0.19,-0.05,-0.3
1951,-0.34,-0.32,-0.24,-0.34,-0.19,-0.06,-0.03,-0.1,-0.15,-0.15,-0.12,-0.06,-0.17,-0.2,-0.33,-0.26,-0.06,-0.14
1952,0.09,0.07,0.07,-0.11,-0.19,-0.22,-0.06,0.02,-0.01,0,-0.06,-0.05,-0.04,-0.04,0.03,-0.08,-0.08,-0.02
1953,-0.09,-0.07,-0.04,-0.06,-0.05,-0.02,-0.2,-0.05,-0.09,-0.13,-0.13,-0.12,-0.09,-0.08,-0.07,-0.05,-0.09,-0.11
1954,-0.25,-0.19,-0.13,-0.26,-0.33,-0.32,-0.29,-0.34,-0.29,-0.19,-0.2,-0.27,-0.26,-0.24,-0.19,-0.24,-0.32,-0.23
1955,-0.17,-0.2,-0.23,-0.2,-0.29,-0.17,-0.22,-0.05,-0.22,-0.24,-0.16,-0.29,-0.2,-0.2,-0.21,-0.24,-0.14,-0.21
1956,-0.22,-0.17,-0.19,-0.29,-0.3,-0.14,-0.03,-0.26,-0.09,-0.2,-0.05,-0.01,-0.16,-0.19,-0.22,-0.26,-0.15,-0.11
1957,-0.04,0,0.04,0.14,0.3,0.21,-0.04,0.06,-0.03,-0.08,0.02,0.04,0.05,0.05,-0.02,0.16,0.08,-0.03
1958,0.09,0.12,0.03,0,-0.05,-0.11,0.13,-0.16,-0.04,0.02,0,-0.14,-0.01,0.01,0.08,-0.01,-0.05,-0.01
1959,-0.05,-0.03,0.02,0,0.07,-0.1,0.05,-0.09,-0.23,-0.08,-0.16,-0.1,-0.06,-0.06,-0.07,0.03,-0.05,-0.16
1960,-0.14,-0.12,-0.23,-0.15,-0.18,-0.29,-0.16,-0.04,0.01,0.04,-0.11,-0.02,-0.12,-0.12,-0.12,-0.19,-0.16,-0.02
1961,-0.04,0.09,-0.02,0.05,0.23,0.05,-0.08,-0.01,0.14,0.11,-0.01,-0.14,0.03,0.04,0.01,0.09,-0.02,0.08
1962,-0.17,-0.07,-0.1,-0.08,-0.18,0.26,-0.09,-0.11,0.1,-0.1,0,-0.15,-0.06,-0.06,-0.13,-0.12,0.02,0
1963,-0.14,-0.13,-0.12,-0.18,-0.03,0.08,0.09,0.35,0.28,-0.14,-0.17,-0.06,-0.02,-0.02,-0.14,-0.11,0.17,-0.01
1964,-0.1,-0.16,-0.14,-0.34,-0.43,0.03,0.02,-0.16,-0.32,-0.31,-0.23,-0.32,-0.2,-0.18,-0.11,-0.3,-0.04,-0.28
1965,-0.15,0.02,-0.16,-0.15,-0.11,0.04,-0.15,0.09,-0.09,-0.09,-0.2,-0.09,-0.09,-0.11,-0.15,-0.14,0,-0.13
1966,-0.13,-0.14,0.1,-0.07,-0.2,-0.09,0.07,-0.28,-0.14,-0.21,-0.05,-0.03,-0.1,-0.1,-0.12,-0.05,-0.1,-0.13
1967,0.03,-0.08,-0.14,-0.12,0.02,-0.13,0.01,-0.1,-0.09,-0.1,-0.13,-0.13,-0.08,-0.07,-0.03,-0.08,-0.08,-0.11
1968,-0.23,-0.15,-0.08,-0.13,-0.19,-0.04,-0.15,-0.07,-0.26,0.19,0.12,0.05,-0.08,-0.09,-0.17,-0.13,-0.09,0.02
1969,0.23,0.17,0.15,0.35,0.24,0.21,-0.14,0.05,0.11,0.24,0.12,0.19,0.16,0.15,0.15,0.25,0.04,0.16
1970,0.19,0.16,0.18,0.14,-0.02,-0.07,-0.02,-0.14,0.26,0.24,0.02,0.05,0.08,0.09,0.18,0.1,-0.08,0.17
1971,0.08,-0.1,-0.09,0.05,0,-0.23,-0.06,0.12,0.03,0.04,-0.1,-0.02,-0.02,-0.02,0.01,-0.01,-0.06,-0.01
1972,0.12,0.18,0.04,0.11,0.08,0.18,0.06,0.38,0.3,0.21,0.28,0.45,0.2,0.16,0.09,0.08,0.21,0.26
1973,0.39,0.21,0.25,0.36,0.36,0.17,0.17,0.04,0.24,0.27,0.18,-0.12,0.21,0.26,0.35,0.32,0.13,0.23
1974,0,-0.2,-0.15,-0.13,0.12,0.05,0.06,0.31,-0.02,0.08,0.05,0.1,0.02,0,-0.11,-0.05,0.14,0.04
1975,0.03,0.06,0.14,0.02,0.33,0.04,0.04,-0.21,0.02,-0.04,-0.04,-0.13,0.02,0.04,0.06,0.16,-0.05,-0.02
1976,-0.13,-0.01,-0.13,-0.17,-0.18,-0.08,0.08,-0.03,-0.01,0.04,0.24,0.47,0.01,-0.04,-0.09,-0.16,-0.01,0.09
1977,0.53,0.36,0.23,0.28,0.42,0.29,0.34,0.3,-0.1,0.08,0.06,0.04,0.24,0.27,0.45,0.31,0.31,0.01
1978,0,0.16,0.19,0.26,0.21,0.11,0.16,-0.15,0.12,0.05,0.12,0.14,0.11,0.11,0.07,0.22,0.04,0.1
1979,0.22,0.16,0.21,0.48,0.06,0.2,0.02,0.27,0.3,0.26,0.33,0.4,0.24,0.22,0.17,0.25,0.16,0.29
1980,0.38,0.38,0.54,0.53,0.48,0.16,0.43,0.35,0.28,0.19,0.38,0.32,0.37,0.38,0.39,0.52,0.32,0.29
1981,0.26,0.19,0.29,0.25,0.31,0.32,0.54,0.45,0.13,0.02,0.12,0.28,0.26,0.27,0.26,0.28,0.44,0.09
1982,0.28,0.15,-0.06,0.06,0.22,0.1,0.21,0.21,0.21,0.24,0.45,0.49,0.21,0.2,0.24,0.07,0.17,0.3
1983,0.49,0.44,0.4,0.54,0.66,0.29,0.15,0.42,0.49,0.2,0.13,0.22,0.37,0.39,0.48,0.53,0.29,0.28
1984,0.26,0.28,0.37,0.24,0.43,0,0.24,0.28,0.42,0.24,0.25,0.32,0.28,0.27,0.26,0.35,0.18,0.3
1985,0.36,0.19,0.35,0.28,0.23,0.31,0.08,0.3,0.25,0.2,0.15,0.16,0.24,0.25,0.29,0.29,0.23,0.2
1986,0.22,0.43,0.31,0.34,0.29,0.09,0.24,0.2,-0.01,0.2,0.24,0.25,0.23,0.23,0.27,0.31,0.18,0.14
1987,0.44,0.35,0.31,0.38,0.29,0.55,0.63,0.3,0.35,0.4,0.45,0.42,0.41,0.39,0.35,0.33,0.49,0.4
1988,0.54,0.42,0.57,0.43,0.45,0.47,0.25,0.59,0.48,0.51,0.2,0.17,0.42,0.44,0.46,0.48,0.44,0.4
1989,0.19,0.2,0.29,0.27,0.14,0.06,0.36,0.41,0.46,0.34,0.29,0.4,0.28,0.27,0.19,0.23,0.28,0.36
1990,0.36,0.33,0.36,0.44,0.44,0.28,0.55,0.25,0.15,0.39,0.46,0.45,0.37,0.37,0.36,0.41,0.36,0.33
1991,0.27,0.47,0.24,0.49,0.37,0.6,0.5,0.44,0.56,0.29,0.29,0.44,0.41,0.41,0.4,0.37,0.51,0.38
1992,0.34,0.34,0.45,0.39,0.46,0.47,0.28,0.19,0.18,0.26,0.15,0.19,0.31,0.33,0.37,0.43,0.31,0.2
1993,0.31,0.23,0.34,0.33,0.25,0.26,0.38,0.19,0.25,0.31,0.3,0.14,0.27,0.28,0.25,0.3,0.28,0.29
