Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.19,-.32,-.06,-.41,-.16,-.03,-1.09,-.50,-.26,-.19,-.12,-.05,.05,.58
1881,-.11,-.19,-.02,-.35,.06,-.08,-.97,-.49,-.14,.05,.08,-.06,-.07,.51
1882,-.11,-.21,-.01,-.29,-.06,.01,-1.55,-.30,-.06,-.08,-.05,.02,.04,.54
1883,-.20,-.32,-.07,-.38,-.20,.00,-.46,-.63,-.20,-.22,-.17,-.02,.07,.41
1884,-.29,-.43,-.16,-.57,-.20,-.14,-1.43,-.62,-.38,-.21,-.19,-.19,-.02,.56
1885,-.32,-.41,-.24,-.61,-.15,-.26,-1.29,-.68,-.41,-.08,-.22,-.31,-.15,.73
1886,-.32,-.41,-.24,-.52,-.25,-.23,-1.36,-.51,-.37,-.24,-.26,-.22,-.20,.50
1887,-.35,-.40,-.30,-.47,-.31,-.29,-1.68,-.48,-.24,-.29,-.34,-.28,-.26,.23
1888,-.19,-.23,-.15,-.43,.08,-.30,-1.59,-.44,-.20,.09,.08,-.32,-.23,.07
1889,-.12,-.17,-.06,-.29,.06,-.17,-.98,-.22,-.19,.02,.10,-.16,-.16,.36
1890,-.38,-.42,-.34,-.48,-.41,-.24,-1.42,-.56,-.25,-.32,-.50,-.18,-.28,.06
1891,-.25,-.28,-.22,-.43,-.12,-.22,-1.41,-.31,-.32,-.03,-.22,-.18,-.24,-.24
1892,-.28,-.39,-.17,-.43,-.30,-.09,-1.41,-.62,-.12,-.32,-.28,.02,-.22,.00
1893,-.33,-.46,-.20,-.49,-.39,-.08,-1.00,-.53,-.35,-.42,-.37,.03,-.21,-.13
1894,-.32,-.39,-.25,-.34,-.36,-.26,-1.45,-.28,-.10,-.48,-.23,-.17,-.35,-.46
1895,-.24,-.30,-.18,-.40,-.09,-.27,-1.05,-.47,-.18,-.13,-.04,-.21,-.32,-.67
1896,-.13,-.21,-.04,-.38,.09,-.16,-1.34,-.36,-.15,.06,.13,-.16,-.14,.17
1897,-.13,-.18,-.08,-.36,.14,-.26,-.87,-.41,-.19,.10,.17,-.21,-.28,.32
1898,-.29,-.29,-.28,-.33,-.26,-.28,-1.27,-.16,-.19,-.24,-.29,-.29,-.21,.29
1899,-.19,-.21,-.17,-.22,-.16,-.21,-1.15,-.02,-.13,-.20,-.12,-.18,-.22,.50
1900,-.10,-.09,-.10,-.19,.13,-.32,-.68,-.09,-.13,.08,.19,-.31,-.29,.18
1901,-.16,-.10,-.22,-.13,-.07,-.32,-.63,-.03,-.06,-.06,-.07,-.29,-.34,.17
1902,-.30,-.34,-.26,-.52,-.09,-.37,-1.69,-.42,-.27,-.07,-.12,-.30,-.43,-.13
1903,-.39,-.39,-.40,-.47,-.33,-.40,-.58,-.39,-.49,-.26,-.40,-.37,-.40,-.54
1904,-.50,-.50,-.50,-.51,-.52,-.45,-.36,-.56,-.52,-.48,-.56,-.39,-.49,-1.36
1905,-.29,-.32,-.27,-.41,-.15,-.37,-.26,-.18,-.59,-.18,-.13,-.34,-.37,-.38
1906,-.23,-.23,-.23,-.24,-.22,-.24,-.47,.00,-.34,-.22,-.21,-.21,-.23,-.76
1907,-.40,-.47,-.33,-.58,-.33,-.31,-.82,-.70,-.45,-.30,-.36,-.22,-.37,-1.25
1908,-.44,-.46,-.42,-.48,-.46,-.36,-.53,-.51,-.46,-.43,-.50,-.29,-.48,.63
1909,-.48,-.47,-.49,-.49,-.49,-.45,-.88,-.51,-.38,-.44,-.55,-.38,-.52,-.61
1910,-.44,-.43,-.45,-.39,-.51,-.38,-.79,-.16,-.43,-.50,-.53,-.32,-.45,.11
1911,-.43,-.39,-.47,-.39,-.43,-.48,-.43,-.36,-.39,-.40,-.46,-.43,-.52,.00
1912,-.36,-.46,-.26,-.59,-.19,-.36,-.73,-.72,-.46,-.26,-.11,-.35,-.29,-1.68
1913,-.35,-.43,-.27,-.43,-.31,-.34,-.75,-.26,-.45,-.44,-.17,-.27,-.40,-1.09
1914,-.16,-.20,-.12,-.25,-.08,-.18,-.67,-.08,-.25,-.12,-.03,-.16,-.18,-.41
1915,-.12,-.11,-.13,-.19,.00,-.22,-.68,-.07,-.14,.01,-.02,-.14,-.23,-2.03
1916,-.33,-.36,-.31,-.30,-.44,-.22,-.42,-.44,-.19,-.46,-.41,-.21,-.17,-1.10
1917,-.44,-.53,-.35,-.42,-.64,-.19,-.74,-.37,-.37,-.71,-.57,-.22,-.09,.02
1918,-.28,-.37,-.20,-.38,-.32,-.14,-1.29,-.16,-.27,-.34,-.30,-.05,-.22,-.33
1919,-.27,-.33,-.20,-.41,-.20,-.23,-.93,-.44,-.25,-.23,-.17,-.14,-.32,.15
1920,-.26,-.26,-.25,-.20,-.26,-.32,-.07,-.06,-.31,-.36,-.15,-.18,-.48,-1.19
1921,-.18,-.08,-.28,.05,-.25,-.31,-.13,.27,-.04,-.26,-.23,-.23,-.38,-.89
1922,-.27,-.25,-.30,-.21,-.32,-.28,-.48,-.30,-.08,-.31,-.32,-.24,-.28,-.33
1923,-.25,-.19,-.30,-.11,-.28,-.34,.04,-.03,-.21,-.30,-.26,-.26,-.41,-.59
1924,-.26,-.15,-.35,-.10,-.24,-.43,.19,-.15,-.16,-.23,-.25,-.38,-.46,-.58
1925,-.21,-.11,-.31,-.01,-.23,-.38,-.25,.27,-.12,-.25,-.21,-.24,-.55,-.91
1926,-.09,.04,-.21,.05,.04,-.41,.41,.26,-.18,.02,.06,-.35,-.45,-.68
1927,-.20,-.10,-.30,-.10,-.14,-.39,-.10,-.12,-.10,-.10,-.17,-.31,-.45,-1.43
1928,-.19,-.08,-.30,-.04,-.14,-.41,.54,-.07,-.19,-.13,-.16,-.30,-.48,-2.17
1929,-.35,-.31,-.38,-.34,-.27,-.46,-.02,-.51,-.33,-.25,-.28,-.42,-.45,-1.12
1930,-.15,.01,-.29,.08,-.10,-.43,.39,.16,-.06,-.09,-.11,-.34,-.47,-2.64
1931,-.10,.05,-.23,.03,.05,-.44,.37,.08,-.11,.07,.03,-.42,-.40,-.46
